index,Dependent,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
574,0,0.064835195,56,2,0.197624587,8166,10,0,1,0,0
585,0,0.155644438,56,0,0.336831584,2000,5,0,1,0,0
590,0,0,51,0,0.238076192,10000,6,0,1,0,0
598,0,0.024100447,86,0,0.010791367,2223,6,0,0,0,0
607,0,0.733914381,33,0,0.158975542,4333,7,1,0,0,1
627,0,0.531963331,64,2,0.480082158,18500,19,0,3,0,1
634,0,0.046740048,57,0,0.404799866,11916,13,0,3,0,0
658,0,0.281115558,69,0,0.162186181,4500,10,0,0,0,1
662,0,0,65,0,0.416379181,6666,10,0,1,0,0
670,0,0.569824212,40,0,0.361421689,11000,18,0,1,0,2
671,0,0.914867126,40,0,0.517037339,4900,7,0,1,0,1
729,0,0.9999999,27,0,0.260763359,3274,3,0,0,1,2
741,0,0.061214562,35,0,0.453692681,21000,7,0,2,0,0
744,0,0.621468927,24,0,0.010079194,4166,3,0,0,0,0
749,0,0,57,0,0.335066493,10000,11,0,2,0,3
758,0,0.066285085,58,0,0.228999349,9213,7,0,1,0,0
803,0,0,45,0,0.735816454,10416,11,0,4,0,1
810,0,0.255610417,54,0,0.528550512,3414,9,0,1,0,1
833,0,0.001876594,79,0,0.01332778,2400,10,0,0,0,0
842,0,0.292567833,64,0,2231,0,5,0,1,0,0
845,0,0.734284381,45,0,11311,0,6,0,2,1,0
858,0,0,58,0,0.411084131,7000,10,0,2,0,1
868,0,0.000237284,64,0,0.427787663,6743,10,0,1,0,0
877,0,0.041411471,45,0,0.008456176,8750,3,0,0,0,3
894,0,0.799018271,30,0,1.298161471,1250,4,0,1,0,0
900,0,0.3882572,45,0,1.112942122,4975,13,0,4,0,1
917,0,0.397244161,25,0,0.294852574,2000,5,0,0,0,0
926,0,0.222506167,59,0,0.271467415,11400,9,0,2,0,0
938,0,0.163750645,65,0,0.266873313,10000,13,0,1,0,0
944,1,0.913773615,55,2,0.881655429,4300,17,0,2,0,1
958,0,0.055228298,48,0,0.146276596,12407,5,0,1,0,0
970,0,0.016658432,53,0,0.315187201,9000,6,0,1,0,0
1058,0,0.101790219,63,0,0.042235495,2343,5,0,0,0,0
1070,0,0.9999999,38,0,0.110878973,6700,3,0,0,0,3
1079,0,0.68028326,80,0,0.42985336,4568,6,0,1,0,0
1080,0,0.179110121,41,0,0.27491843,9500,10,1,1,0,2
1086,0,0.946978196,34,0,0.335438375,9500,12,0,2,0,2
1132,0,0.612030682,74,2,0.76967187,3138,10,1,2,0,0
1187,1,0.087649402,27,0,0.009995457,2200,2,0,0,1,1
1245,0,0.696495633,46,0,0.276620563,6000,10,0,0,0,1
1249,0,0.017594819,52,0,0.306472244,3908,7,0,1,0,1
1253,0,0.874912509,46,0,0.302199741,8500,4,0,1,0,0
1267,1,0.767840152,74,3,0.2964495,2900,4,1,0,1,0
1281,0,0.036422035,30,0,1756,1,10,0,2,0,0
1339,1,0.617025827,26,0,0.160912815,3417,5,0,0,0,0
1361,0,0.00712519,67,1,0.186116269,7000,25,0,1,0,0
1362,0,0.871073356,35,0,0.390764509,7167,12,0,1,0,0
1365,0,0.161644287,52,0,0.134433192,6121,8,0,0,0,0
1379,0,0.081353789,59,0,0.028554343,60200,13,0,1,0,1
1386,0,0.878880524,61,1,0.950642674,3889,19,0,1,0,1
1392,0,0.480988269,59,0,0.164019337,11583,18,0,1,0,1
1417,0,0.10835629,63,0,0.005165806,6000,3,0,0,0,0
1418,0,0.004171309,66,0,0.304592315,3200,8,0,1,0,0
1451,0,0.363993614,45,0,0.248252006,13586,6,0,2,0,3
1481,0,0.9999999,36,0,0.082448854,6500,6,0,0,0,1
1525,0,0.072093448,63,1,0.673983917,4600,17,0,1,0,1
1550,0,0.905468868,31,1,0.35297212,1900,6,0,0,2,0
1552,0,0.31309339,57,0,1.64846981,2417,8,0,1,0,0
1553,0,0.12724513,46,0,0.643,14999,11,0,5,0,0
1576,0,5.37E-05,41,0,0.108461814,5577,7,0,0,0,1
1589,0,0.187409279,38,0,0.49730054,5000,7,0,1,0,2
1628,0,0.021547106,56,0,0.318019519,4200,12,0,2,0,2
1652,0,0.84490946,60,0,0.357151076,8690,6,0,1,0,2
1665,0,0.99200034,57,0,0.555111222,4000,8,0,1,0,0
1669,0,0.456585044,32,0,0.630046584,2575,9,0,2,0,0
1674,0,0.102222373,32,0,0.716513395,2500,6,0,1,0,0
1704,0,0.568392168,35,0,0.903676471,2719,9,0,1,0,0
1726,0,0.356634904,49,1,0.458135466,4000,11,0,2,0,0
1733,0,0.04254138,35,0,0.486238532,9700,12,0,3,0,2
1753,0,0.2391771,72,0,1.054041983,6716,9,0,2,0,1
1773,0,0.987367106,56,0,0.613832059,14516,21,0,2,1,0
1774,0,0,63,1,0.087569008,5252,5,0,1,0,1
1816,0,0.064372318,41,0,1.083273338,4166,7,0,1,0,1
1820,0,0.849229165,60,0,0.848819169,5800,11,0,2,0,0
1836,0,0.371644487,32,0,0.427944404,4100,13,0,0,1,2
1852,0,0.179849103,45,0,0.308615311,4166,7,0,2,0,0
1887,0,0.03167801,28,0,0.114237715,2380,7,0,0,0,0
1913,0,0.9999999,55,0,0.958208358,5000,8,0,3,0,0
1914,0,0.060876125,67,0,0.122324159,5885,10,0,0,0,2
1939,0,0.891623721,37,0,0.564257446,4800,8,0,1,0,1
1976,0,0.373342184,48,2,3.45243805,1250,27,0,2,0,2
2017,0,0.062146416,90,0,1.41586138,3000,18,0,1,0,0
2018,0,0.041683931,44,0,0.796093932,4300,10,0,4,0,1
2039,0,0,88,0,0,3333,6,0,0,0,0
2043,1,0.9999999,48,1,0.26296065,1600,1,0,0,0,0
2066,0,0.836666107,71,0,0.073963018,2000,4,0,0,0,0
2071,0,0.343209383,36,0,0.408700228,5700,11,0,1,0,0
2127,0,0.086850877,62,0,0.435741646,7570,22,0,1,0,0
2136,0,0.287522654,39,2,0.634727545,6000,19,0,1,0,2
2139,0,0.003577191,60,0,0.48955495,1100,11,0,1,0,0
2148,0,0.459293814,53,0,0.637213763,8340,11,0,2,0,2
2170,0,0.933275834,48,0,0.827038942,6804,10,0,1,1,1
2177,0,0.9999999,36,0,0.486570893,1600,3,0,2,0,3
2178,0,0.576351207,65,0,0.301519757,6579,9,0,1,0,1
2188,0,0.414240261,61,0,0.136463194,10500,14,0,2,0,0
2212,0,0.250713314,48,0,0.340207672,6933,7,0,1,0,1
2274,0,0,45,0,0.403704026,11500,6,0,1,0,2
2277,0,0.018401824,43,0,0.482294264,4009,7,0,1,0,0
2296,0,0.074767296,47,0,0.20913047,12178,16,0,1,0,3
2312,0,0.072247682,58,0,0.361514127,9166,9,0,1,0,0
2318,1,0.016814976,43,1,0.029509816,8098,6,0,0,1,0
2337,1,0.9999999,48,4,1.195921631,2500,5,1,3,1,0
2339,0,0.105642895,71,0,0.220465601,11511,8,0,1,0,0
2372,0,0.9999999,89,0,0,6000,2,0,0,0,0
2378,0,0.166184038,50,0,0.203518593,2500,5,0,0,0,0
2402,0,0.728787735,38,1,0.353819491,7500,6,3,1,2,0
2406,0,0.995313964,30,1,0.154133002,3217,6,0,0,0,1
2468,0,0.002197706,81,0,0.078437404,3250,6,0,0,0,1
2477,1,0.986295215,50,3,0.170919325,5329,6,0,2,1,1
2483,0,0.677963523,65,1,0.938905859,3600,14,0,1,0,1
2487,0,0,31,0,0.033655448,3000,10,0,0,0,0
2495,0,0.882164926,60,0,0.426229508,2500,8,0,0,0,0
2512,0,0.444712481,74,0,0.333703621,4500,13,0,0,0,0
2531,0,0.033369849,57,0,0.413894505,5440,9,0,2,0,2
2532,0,0.213011391,57,1,0.250010706,23350,14,0,2,0,1
2573,0,0.028544314,60,0,0.365289722,7092,15,0,3,0,0
2590,0,0.048013049,49,0,0.060882124,9000,4,0,0,0,0
2600,0,0.000200799,26,0,0,2300,7,0,0,0,0
2626,0,0.054869339,40,0,1.608695652,620,4,0,1,0,0
2629,0,0.018796023,58,0,0.108778244,5000,4,0,0,0,0
2631,0,0.030132005,36,0,0.575217886,7916,7,0,2,0,0
2651,0,0.072856988,54,0,0.150583245,6600,6,0,1,0,1
2652,0,0.57489301,50,0,0.057683967,6916,8,0,0,0,0
2663,0,0.000933292,47,1,0.759585388,9936,9,0,5,0,3
2664,0,0.158624144,64,0,0.300579961,15000,10,0,2,0,0
2679,0,0.897153598,44,4,4.025527192,900,14,1,1,0,2
2682,0,0.466997893,71,0,0.362135177,7811,9,0,1,0,0
2689,0,0.558410262,45,0,0.116188381,10000,4,0,1,0,0
2697,0,0.9999999,34,0,0.691921005,2784,7,0,2,0,3
2720,0,1.823920266,38,0,0.015783935,2850,1,2,0,0,1
2742,0,0.4138049,60,0,0.816818357,7800,13,0,3,0,0
2769,0,0.582757962,60,0,1.249135868,3760,25,0,1,0,0
2770,0,0.51958007,42,0,0.160787992,5329,4,3,0,1,2
2784,0,0.032583137,31,0,0.068563593,5833,8,0,0,0,0
2790,0,0.020412385,46,0,0.10875,8799,4,1,0,0,1
2817,0,0.319714166,42,0,0.352960894,8949,6,0,2,0,2
2825,0,0.450384987,63,0,0.473244147,2391,5,0,0,0,3
2870,0,0.412198568,57,1,0.330820706,13000,19,0,1,0,4
2899,0,0.138219489,53,3,0.360877092,8664,20,1,4,0,0
2912,0,0.123545616,48,0,1.056420511,7000,13,0,1,0,2
2917,0,0.542161672,51,1,0.093229216,10500,11,0,0,0,0
2933,0,0.270617502,54,0,0.092744951,5347,6,0,0,0,1
2950,0,0.112585515,75,0,1215,0,3,0,1,0,1
2990,0,0.295296876,31,3,0.507164279,3000,10,0,1,0,0
2999,0,0.956529549,33,0,0.222841226,14000,8,0,2,0,3
3020,1,0.9999999,42,0,0.132915138,8448,2,1,0,1,2
3024,0,0.99640072,41,0,0.228489386,9750,5,0,1,0,3
3049,0,0,72,0,0.056591975,9594,5,0,1,0,0
3053,0,0.00141175,57,0,0.039797347,15000,10,0,0,0,1
3059,0,0.05674818,32,1,0.856535866,4000,10,1,1,1,0
3061,0,0.078344305,52,0,0.529290429,9695,11,0,3,0,1
3063,0,0.587536101,44,0,0.435224254,6398,10,0,0,0,3
3065,0,0,24,0,0.173375428,3800,8,1,0,0,0
3074,0,0.080017557,63,0,0.285464317,16001,13,0,3,0,1
3117,0,0.203334172,38,0,0.350108315,6000,16,0,1,0,3
3135,0,0.319181411,41,0,1.264122646,6000,11,0,2,0,3
3139,0,0.105797741,29,0,0.244977169,4379,6,0,1,0,3
3151,0,0.024639786,56,0,0.267716535,8000,9,0,1,0,2
3166,0,0.029370869,36,0,0.005624297,8000,6,0,0,0,0
3174,0,0.597505045,51,6,0.057944846,6091,12,0,0,2,0
3179,0,0.650034997,47,0,0.29494328,5200,9,0,1,0,2
3185,0,0.957529964,30,1,0.217264082,4100,4,1,0,0,0
3194,0,0.180240439,55,0,0.186574328,14583,6,0,2,0,0
3199,0,0.018231792,77,0,0.211747902,5600,8,0,2,0,1
3218,0,0.039654453,81,0,0.236587804,3000,7,0,1,0,0
3252,0,0.937062937,23,0,0.041983207,5001,4,0,0,0,0
3269,0,0.9999999,55,1,1.520953164,1216,4,0,3,0,0
3297,0,0.9999999,57,0,0.253725712,5300,4,0,1,0,4
3305,0,0.001586862,58,0,0.209158168,5000,8,0,2,0,1
3328,0,0.020211509,47,0,0.786372402,4666,11,0,3,0,0
3329,0,0.991126109,45,0,0.311652704,6564,12,0,0,0,2
3335,0,0.259492792,54,0,0.953496628,2816,5,0,2,0,2
3356,0,0.216141416,39,0,0.257909875,7300,9,0,2,0,0
3366,0,0.024304327,67,0,0.007529379,14210,11,0,0,0,0
3371,0,0.9999999,45,0,9260,0,7,0,4,0,4
3406,0,0.002733273,67,0,0.000363152,8260,5,0,0,0,0
3415,0,0.01679832,78,0,0.118122977,4325,4,0,1,0,0
3417,1,0.834839454,36,1,0.212615792,6800,10,1,0,3,3
3423,0,0.9999999,71,0,1664,0,7,0,1,0,0
3427,0,0,43,0,0.33962893,9000,2,0,1,0,1
3435,0,0.200168704,69,0,0.334943639,11177,24,0,2,0,1
3453,0,0.670281912,38,0,0.4626837,10410,4,0,2,0,2
3464,0,0.042229686,55,0,0.198125641,6828,5,0,2,0,0
3465,0,0.337527063,73,0,0.306972093,11000,17,0,2,0,0
3468,1,0.9999999,40,0,0.006959443,4166,0,1,0,0,3
3483,0,0.007182445,59,0,0.223449216,7334,12,0,2,0,0
3495,0,0.227325756,53,0,0.082487196,11128,19,0,0,0,0
3501,1,0.711237719,40,2,0.57706049,8116,9,1,2,0,1
3511,0,0.078474137,31,2,0.268060995,12000,7,0,1,0,0
3543,0,0.440775341,72,0,0.2504363,4583,9,0,0,0,2
3555,0,0.17588426,63,0,0.243410289,5500,11,0,1,0,1
3560,0,0,35,0,0.608821242,9000,8,0,3,0,2
3562,0,0,54,0,0.180681427,8716,10,0,1,0,0
3613,0,0.402665929,44,0,0.145365979,7800,9,0,0,0,0
3615,0,0.000464637,50,1,0.172056132,4916,4,0,1,0,0
3616,0,0.015881861,53,0,0.106304836,4900,6,0,1,0,1
3669,0,0.667827882,33,0,0.624864572,3691,6,0,1,0,0
3678,1,0.9999999,47,1,0.130455986,4100,4,0,1,1,2
3683,0,0.07015966,70,0,0.4,3919,13,0,2,0,1
3714,0,0.021080132,61,0,1.209916034,2500,11,0,2,0,1
3719,0,0.111757258,31,0,0.306670517,3462,7,0,0,0,0
3728,0,0,41,0,0.419274376,8819,5,0,2,0,2
3733,0,0,44,0,0.133616494,11300,3,0,1,0,1
3743,0,0.16388759,31,0,0.040682415,2285,3,0,0,0,1
3753,0,0.067161455,27,1,434,1,10,0,1,0,1
3768,0,0.003567903,69,0,0.001830384,4916,9,0,0,0,0
3772,1,0.873510188,50,0,0.196677051,4814,6,0,0,0,6
3784,0,0.815901943,38,1,0.585255299,7500,9,0,4,0,4
3790,0,0.930901464,61,0,0.633346661,2500,6,0,1,0,0
3795,0,0.070744105,35,0,0.057756696,3583,5,0,0,0,0
3799,0,0.9999999,30,0,0.365406007,1797,2,0,0,0,0
3846,0,0,68,0,0.207803993,1101,2,0,0,0,0
3852,0,0.9999999,32,0,0.396349768,3670,6,0,0,0,0
3877,0,0.354989857,39,0,0.149197629,6916,7,0,0,0,1
3882,0,0.388418812,49,0,0.237507398,11826,9,0,1,0,1
3892,0,0.9999999,61,0,0,1500,1,0,0,0,1
3938,0,0.426467915,27,0,1.336283186,451,5,0,0,0,0
3941,0,0.17216531,59,1,0.271292198,18750,8,0,2,0,2
3944,0,0.51176651,55,0,0.711400529,5297,12,0,2,0,0
3987,0,0,88,0,0,2550,2,0,0,0,0
3994,0,0.9999999,35,0,0.025589764,2500,1,1,0,0,1
4012,0,0.615223049,58,0,0.484566104,3433,14,0,1,0,0
4015,0,0.087638778,66,0,0.258186739,3694,5,0,0,0,1
4037,0,0.025119352,60,1,0.190560839,11250,22,0,1,0,0
4049,0,0.004151215,48,1,1.19201995,400,8,0,0,0,3
4051,0,0.038592282,56,0,0.233554617,3313,6,0,0,0,1
4074,0,0.232369017,46,0,0.39172974,5416,4,0,1,0,0
4091,0,0.580252057,56,0,0.311493527,6333,8,0,1,0,0
4100,0,0,27,0,2.007936508,251,3,0,0,0,1
4124,0,0.034126939,66,0,0.219973174,8200,17,0,1,0,0
4149,0,0.310698673,56,0,0.946982842,5186,11,0,2,0,1
4159,0,0.389743346,28,1,0.117529438,4500,3,0,0,0,0
4161,0,0.096506839,53,0,0.207320714,16746,11,0,2,0,2
4188,0,0.880942108,48,0,0.519123424,4836,4,0,1,0,2
4223,0,0.538092382,41,0,0.134604703,5400,3,0,0,0,0
4244,0,0.035297356,37,1,0.526669655,2230,8,0,1,0,2
4255,0,0.042207085,76,0,0.118658281,9539,18,0,1,0,0
4313,0,0.180643244,63,0,0.411877395,4697,13,0,1,0,0
4329,0,0.071677893,66,0,0.082049792,10322,10,0,0,0,0
4341,0,0.44123761,63,0,0.28274869,25000,11,0,2,0,0
4361,0,0.030118613,71,0,0.544448543,2710,9,0,1,0,0
4388,0,0.115348867,49,0,0.404901762,4936,12,0,3,0,0
4389,0,0,93,0,0,4889,5,0,0,0,0
4393,0,0.008227578,49,1,0.434946958,8200,11,0,3,0,2
4412,0,1.185628743,41,0,0.010996335,3000,1,2,0,0,0
4435,0,0.239929783,62,0,0.230356271,2048,6,0,0,0,0
4450,0,0.374002281,76,0,0.638109679,3956,15,0,1,0,0
4451,1,0.069442399,59,0,0.139317854,9000,7,1,1,0,0
4468,0,0.803371032,41,0,0.502499039,2600,5,0,0,0,0
4477,0,0.969551522,42,0,0.588921283,2400,6,0,0,0,0
4485,0,0.183234776,55,0,0.280965679,11100,11,0,2,0,1
4491,0,0.9999999,30,0,0.048419368,2498,0,0,0,0,0
4501,0,0,24,0,0.020824656,2400,3,0,0,0,0
4574,0,0.143780977,46,0,0.083691284,7216,14,0,0,0,2
4596,0,0.011597477,54,0,0.567314884,2673,8,0,1,0,0
4604,0,0.530889516,51,0,0.219890055,2000,7,0,0,0,1
4627,0,0.503970199,41,0,0.761094545,5700,17,0,2,0,1
4646,0,0.092390761,48,0,0.216531497,9000,4,0,1,0,0
4656,0,0.12635215,41,0,0.100747113,4416,5,0,0,0,1
4678,1,0,31,2,0.331795463,2600,3,3,0,0,0
4684,0,0.014811041,39,0,0.083177819,3750,10,0,0,0,1
4701,0,0.061430772,43,1,0.295632699,6250,7,1,1,0,0
4707,0,0.896215187,47,2,0.284775778,3500,4,0,1,1,3
4746,0,0.287373563,59,0,0.662263477,2800,6,0,1,0,0
4754,0,0.014960501,45,0,0.930809749,11200,21,0,2,0,0
4767,0,0.412710685,40,0,0.144859165,7206,8,0,0,0,3
4787,1,0.9999999,59,0,0.856291391,3019,8,0,1,0,1
4820,0,0.576674294,56,0,0.356751035,10390,25,0,2,0,1
4837,0,0,39,1,0.078992101,10000,4,0,0,0,0
4838,0,1.026192372,52,5,0.653604776,6532,25,0,2,0,0
4861,0,0.068166326,81,0,892,0,4,0,1,0,0
4865,1,1.003997335,63,2,1.21627566,1363,6,1,1,0,0
4882,0,0.289371347,38,0,0.612096976,4000,7,0,2,0,2
4926,0,0.296525124,64,0,0.585913127,8333,6,0,2,0,1
4933,0,0.442455952,48,0,1.289990645,5344,20,0,4,0,0
4934,0,0.120487853,71,0,0.305092665,6420,3,0,1,0,1
4942,0,0.792340898,40,0,0.504346761,8166,13,0,0,0,0
4969,0,0.044760855,51,0,0.446420215,6410,12,0,1,0,0
5002,0,0.902260962,41,0,0.629763131,5825,11,0,4,0,0
5006,0,0.00055384,85,0,9.52E-05,10500,12,0,0,0,0
5028,0,0.477829753,45,0,0.432628798,9083,16,0,2,0,0
5054,0,0,51,0,0.338650161,8400,8,0,2,0,2
5074,0,0.9999999,33,98,0,1500,0,98,0,98,0
5082,0,0.939658543,45,0,0.172592337,2896,6,0,0,0,1
5120,0,0.334424628,74,1,0.13093991,10500,19,0,0,0,0
5153,0,1.00679864,51,0,0.530497967,15000,11,0,3,0,2
5190,0,0.38350946,49,0,0.27424803,6216,11,0,1,0,3
5229,0,0.003861098,78,0,0.278979826,9566,16,0,2,0,0
5242,0,0.13391297,49,0,0.08536434,24166,8,0,1,0,2
5257,0,0.350182491,28,0,0.217744455,3200,9,0,0,0,0
5276,0,0.399278209,53,0,0.380597015,4153,12,0,1,0,2
5282,0,0.117553096,82,0,0.124350595,5966,10,0,1,0,0
5287,0,0.9999999,55,1,0.326849037,4934,2,0,1,1,2
5288,0,0.017950602,73,0,3.412416851,450,11,0,1,0,0
5298,1,0.9999999,62,0,0.873772791,1425,8,1,1,0,1
5318,0,0.027703404,57,1,0.480207917,2500,10,0,1,0,0
5363,0,0.024271957,78,0,0.00552191,5613,3,0,0,0,0
5388,0,0,52,0,0.767534689,5260,13,0,4,0,0
5400,0,0.01833777,79,0,0.024650233,1500,5,0,0,0,0
5401,0,0.231230731,44,0,0.079810726,3169,8,0,1,0,0
5403,0,0,41,0,0.160364781,18750,5,0,2,0,3
5459,0,0.627712606,64,0,0.487323944,4969,8,0,2,0,0
5475,1,0.9999999,53,0,0.250128403,7787,1,0,1,1,1
5484,0,0.32521249,50,0,0.570905205,6550,12,0,3,0,1
5492,0,0.192194427,46,1,0.611997144,4200,9,0,1,0,2
5498,0,0.805707937,46,0,0.248669569,6200,18,0,0,1,3
5519,0,1.003999733,36,0,0.588888889,5399,6,0,2,0,2
5523,1,0.467810012,48,0,0.457134202,3300,8,0,1,0,0
5557,0,0.002688829,58,1,0.37607799,8000,9,0,1,0,1
5593,0,0.450280504,50,0,0.110540203,7200,6,0,0,0,0
5617,0,0.003723074,59,0,0.112115732,1658,3,0,0,0,0
5660,0,0.132098341,65,0,0.039392122,5000,9,0,0,0,0
5669,0,0.816749485,61,0,0.211243992,8946,4,0,1,0,1
5678,0,0.014187457,48,0,0.316725979,34000,9,0,4,0,2
5679,0,0.064251876,59,0,0.238660338,7583,12,0,1,0,0
5688,0,0.676460422,41,0,0.25087189,4300,6,0,0,0,0
5697,0,0.696340532,63,0,0.443311338,5000,4,0,1,0,0
5701,0,0.05864212,51,0,0.528329872,3370,8,0,1,0,0
5713,0,0.5291814,58,0,0.13167035,3166,9,0,0,0,0
5717,0,0.737454168,47,0,0.530142381,3300,6,0,1,0,0
5734,0,0.165188582,54,0,0.837085171,4308,8,0,2,0,0
5749,0,0.075686053,66,0,0.108600721,15800,28,0,1,0,1
5764,0,0.588117653,35,0,1.348260696,2500,7,0,1,0,4
5789,0,0.069501958,55,0,0.293830247,8800,22,0,2,0,0
5796,0,0.830931312,66,0,0.671726755,6850,26,0,2,0,2
5818,1,0.564824622,39,6,0.4861167,2484,15,0,0,1,0
5830,0,0.576917583,54,2,0.506075334,6583,7,1,1,0,1
5839,0,0.320042708,47,0,0.384873597,9532,17,0,2,0,1
5859,0,8.26E-05,40,0,0.245719285,8000,9,0,1,0,0
5863,0,0.765936329,52,0,1.474639616,1872,14,0,1,0,0
5868,0,0.216164844,63,0,0.259771705,2890,11,1,0,0,0
5873,0,0.233906437,24,0,0.020706456,820,2,0,0,0,0
5875,0,0.239655193,42,1,0.413862046,3000,20,0,0,0,0
5891,0,0.165296601,29,1,0.01665405,1320,5,0,0,0,0
5895,0,0.9999999,39,1,0.116624615,3566,1,0,0,0,3
5922,0,1.109094545,80,0,0.482974071,3200,5,0,0,1,1
5946,0,0,68,0,0,10500,8,0,0,0,0
5962,0,0.150989059,60,0,0.355881373,3000,11,0,1,0,0
5969,0,0.022762559,51,0,0.177101715,14166,8,0,2,0,1
5974,1,0.00133353,53,0,0.512688574,8550,24,0,5,1,0
6036,0,0.585352562,70,0,1.840672197,4700,32,0,7,0,0
6063,0,0.46561193,50,0,0.310209312,11704,18,0,2,0,3
6079,0,0.165981041,65,0,0.667805058,10833,12,0,6,0,1
6088,0,0.858601115,60,3,0.342981593,7116,14,0,1,1,0
6091,0,0.112962638,32,0,0.360691145,4166,7,0,2,0,2
6098,0,0.050867129,60,2,0.265601362,10575,18,0,2,0,0
6114,0,0.008687069,64,0,0.006624172,8000,17,0,0,0,0
6121,0,0.068454391,48,0,0.089739926,6997,8,0,0,0,3
6124,0,0.396080068,61,0,0.924913409,8083,7,0,2,0,0
6128,0,0.322723416,52,0,0.230384669,7200,8,0,0,0,1
6141,0,1.028439662,50,0,0.023329445,6000,2,0,0,0,1
6156,0,0.269647407,52,0,0.372029544,18683,14,0,3,0,2
6177,0,0.223493832,53,0,0.53787735,5266,9,0,2,0,2
6178,0,0.02699775,88,1,0.004497751,2000,5,0,0,0,0
6180,0,0.000999001,54,0,0.186647408,6230,5,1,0,0,0
6183,0,0.0989659,66,0,1.36031984,2000,8,0,1,0,0
6211,0,0.173292471,76,0,0.121287871,10000,8,0,1,0,0
6234,0,0.066741657,28,0,0.27399651,4583,10,0,1,0,0
6241,0,0.190670233,46,0,0.182956187,27000,6,0,1,0,0
6313,0,0.643100408,73,0,0.583565029,3236,5,0,1,0,0
6316,0,0,76,0,1.146810146,1300,6,0,1,0,0
6334,0,0.072276755,37,0,0.3915042,6308,8,0,1,0,2
6348,0,0.520957479,54,2,0.148819895,12625,7,0,2,0,1
6353,0,0.106538138,43,0,0.035768072,10623,14,0,0,0,1
6406,0,0.00645101,40,0,0.489563235,5700,8,0,3,0,1
6407,1,0.314595927,63,1,0.338830585,3334,11,0,1,0,1
6410,1,0.958027981,29,3,0.26691103,3000,8,0,0,2,0
6453,0,0.350708464,52,0,0.220975447,9000,10,0,1,0,1
6460,0,0.636245993,54,0,0.102149762,6930,4,0,0,0,2
6479,0,0,42,1,0.058535219,7140,2,0,0,0,1
