index,admit,gre2,gpa
104,0,5.4,3.94000
108,0,4.8,3.13000
109,0,4,2.93000
110,0,4.8,3.45000
111,0,6.8,3.08000
112,0,4.2,3.41000
113,0,3.6,3.00000
114,0,6,3.22000
115,0,7.2,3.84000
116,0,6.2,3.99000
118,0,7,3.72000
120,0,3.4,2.92000
123,0,5.2,2.85000
124,0,5,2.98000
125,0,7.2,3.88000
126,0,5.4,3.38000
128,0,7.4,3.74000
129,0,5.4,3.19000
130,0,4.6,3.15000
132,0,6.4,2.79000
133,0,5.8,3.40020
134,0,5,3.08000
135,0,5.6,2.95000
136,0,5,3.57000
137,0,5.6,3.33000
138,0,7,4.00040
139,0,6.2,3.40000
141,0,6.4,3.93000
143,0,6.2,3.94000
144,0,5.8,3.40010
145,0,5.8,3.40000
146,0,3.8,3.43000
147,0,4.8,3.40000
148,0,5.6,2.71000
150,0,7.4,3.31000
152,0,4,3.38000
154,0,5.8,3.46020
155,0,6.2,3.69000
157,0,5.6,2.52000
159,0,6.6,3.49010
160,0,7,3.82000
161,0,6,3.13000
162,0,6.4,3.50000
164,0,5.2,2.73000
165,0,5.8,3.30000
166,0,7,4.00030
167,0,4.4,3.24000
168,0,7.2,3.77000
169,0,5,4.00000
170,0,6,3.62000
171,0,4,3.51000
172,0,5.4,2.81000
173,0,6.8,3.48000
175,0,5,3.53000
177,0,5.2,2.62000
179,0,6.2,3.33000
180,0,3,3.01000
181,0,6.2,3.78000
182,0,5,3.88000
183,0,7,4.00020
185,0,5,2.79000
186,0,8,3.60000
187,0,5.6,3.61000
188,0,5.8,2.88000
189,0,5.6,3.07000
190,0,5,3.35000
192,0,8,3.54000
193,0,6.4,3.76000
194,0,3.8,3.59000
196,0,5.6,3.59010
197,0,6.6,3.07000
199,0,6,3.63000
200,0,5.8,3.77000
201,0,8,3.31000
204,0,4.2,3.92000
207,0,7.4,3.54000
209,0,5.4,3.16000
210,0,5.8,3.50000
211,0,7.4,3.34000
212,0,5.8,3.02000
213,0,4.6,2.87000
214,0,6.4,3.38000
217,0,3.4,2.90000
219,0,4.6,2.98000
221,0,5.4,3.28010
222,0,6.8,3.99000
224,0,8,3.47000
225,0,8,2.90000
227,0,6.2,3.58000
228,0,5.4,3.02000
229,0,4.8,3.43000
231,0,5.8,3.29000
232,0,6,3.28000
233,0,3.8,3.38000
234,0,4.2,2.67000
236,0,6.2,3.05000
238,0,4.8,4.00000
239,0,5,2.86000
240,0,7,3.45000
241,0,4.4,2.76000
244,0,6.2,3.22000
245,0,5.4,3.04000
246,0,8,3.91000
247,0,6.8,3.34000
248,0,4.4,3.17000
249,0,6.8,3.64000
250,0,6.4,3.73000
251,0,6.6,3.31000
252,0,6.2,3.21000
256,0,6.4,3.35000
259,0,5.2,3.51000
260,0,6.4,3.81000
261,0,6.8,3.11000
262,0,4.4,3.15000
266,0,3.8,3.34000
267,0,5.6,3.24000
270,0,5,2.81000
272,0,5.4,3.33000
274,0,6.6,3.32000
275,0,5.2,3.12000
277,0,4.6,3.77000
281,0,6.6,3.94000
282,0,3.6,3.27000
283,0,6.6,3.45000
284,0,5.2,3.10000
286,0,6,3.31000
289,0,8,3.15000
290,0,4.2,2.26000
292,0,8,2.78000
293,0,6.8,3.70000
294,0,8,3.97000
295,0,4.8,2.55000
296,0,5.2,3.25000
297,0,5.6,3.16000
298,0,4.6,3.07000
299,0,5.4,3.50000
300,0,7.2,3.40000
301,0,6.4,3.30000
305,0,2.2,2.83000
306,0,5.8,3.46010
308,0,5.8,3.51000
309,0,5.4,3.13000
310,0,4.4,2.98000
311,0,5.6,4.00000
312,0,6.6,3.67010
313,0,6.6,3.77000
315,0,5.4,3.46000
320,0,5.4,3.28000
321,0,4.6,3.14000
322,0,4.6,3.58000
323,0,5,3.01000
324,0,4.2,2.69000
325,0,5.2,2.70000
326,0,6.8,3.90000
327,0,6.8,3.31000
329,0,5.8,3.34000
330,0,5,2.93000
331,0,7.4,4.00010
332,0,6.6,3.59000
333,0,4.2,2.96000
334,0,5.6,3.43000
337,0,5.2,3.15000
338,0,6.2,3.09000
339,0,5.4,3.20000
341,0,5,3.23000
343,0,5,3.95000
344,0,5.8,3.06000
345,0,5.2,3.35000
346,0,5,3.03000
347,0,6,3.35000
348,0,5.8,3.80000
349,0,4,3.36000
350,0,6.2,2.85000
352,0,6.2,3.43000
354,0,7,3.52010
357,0,7,3.27000
358,0,7.2,3.31000
360,0,7.2,3.94000
363,0,6.8,3.14000
364,0,4.6,3.44000
366,0,4.8,2.78000
367,0,4.6,2.93000
368,0,6.2,3.63010
369,0,5.8,4.00000
370,0,8,3.89000
375,0,5.6,3.78000
376,0,5.6,3.49000
377,0,6.2,3.63000
379,0,6.4,3.12000
380,0,5.4,2.70000
381,0,7,3.65010
383,0,5.4,3.51000
384,0,6.6,4.00010
386,0,4.2,3.02000
388,0,5.8,3.36000
389,0,6.4,3.17000
390,0,6.4,3.51000
396,0,6.2,4.00010
397,0,5.6,3.04000
398,0,4.6,2.63000
399,0,7,3.65000
400,0,6,3.89010
